3/04/2024,2:17:33 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1607.98,-0.12884
1607.99,-0.12836
1608,-0.12848
1608.01,-0.1288
1608.02,-0.1286
1608.03,-0.12884
1608.04,-0.1286
1608.05,-0.12902
1608.06,-0.12844
1608.07,-0.1286
1608.08,-0.12866
1608.09,-0.12857
1608.1,-0.1281
1608.11,-0.12802
1608.12,-0.12802
1608.13,-0.12828
1608.14,-0.12759
1608.15,-0.12804
1608.16,-0.12837
1608.17,-0.12878
1608.18,-0.1282
1608.19,-0.12846
1608.2,-0.12804
1608.21,-0.12824
1608.22,-0.12794
1608.23,-0.12829
1608.24,-0.12758
1608.25,-0.12832
1608.26,-0.12756
1608.27,-0.12783
1608.28,-0.12779
1608.29,-0.12847
1608.3,-0.12814
1608.31,-0.12834
1608.32,-0.12793
1608.33,-0.12836
1608.34,-0.12748
1608.35,-0.12866
1608.36,-0.12812
1608.37,-0.12791
1608.38,-0.12841
1608.39,-0.12791
1608.4,-0.12844
1608.41,-0.12846
1608.42,-0.12848
1608.43,-0.12777
1608.44,-0.12852
1608.45,-0.12806
1608.46,-0.12803
1608.47,-0.12823
1608.48,-0.12861
1608.49,-0.12808
1608.5,-0.12822
1608.51,-0.1289
1608.52,-0.12891
1608.53,-0.12837
1608.54,-0.12863
1608.55,-0.12893
1608.56,-0.12788
1608.57,-0.12872
1608.58,-0.12837
1608.59,-0.12912
1608.6,-0.1288
1608.61,-0.12917
1608.62,-0.12897
1608.63,-0.12908
1608.64,-0.12931
1608.65,-0.12906
1608.66,-0.12876
1608.67,-0.12907
1608.68,-0.12885
1608.69,-0.12904
1608.7,-0.12884
1608.71,-0.12952
1608.72,-0.12927
1608.73,-0.12984
1608.74,-0.12999
1608.75,-0.1297
1608.76,-0.12951
1608.77,-0.12976
1608.78,-0.12945
1608.79,-0.12958
1608.8,-0.12976
1608.81,-0.12966
1608.82,-0.12973
1608.83,-0.12964
1608.84,-0.12964
1608.85,-0.13014
1608.86,-0.13013
1608.87,-0.13033
1608.88,-0.13004
1608.89,-0.13035
1608.9,-0.12975
1608.91,-0.12959
1608.92,-0.13006
1608.93,-0.12964
1608.94,-0.12994
1608.95,-0.13051
1608.96,-0.13061
1608.97,-0.13076
1608.98,-0.13057
1608.99,-0.13091
1609,-0.12967
1609.01,-0.13012
1609.02,-0.13027
1609.03,-0.1302
1609.04,-0.13017
1609.05,-0.13039
1609.06,-0.13033
1609.07,-0.13045
1609.08,-0.13062
1609.09,-0.13072
1609.1,-0.13077
1609.11,-0.13038
1609.12,-0.13028
1609.13,-0.13058
1609.14,-0.12959
1609.15,-0.12997
1609.16,-0.13044
1609.17,-0.13024
1609.18,-0.13061
1609.19,-0.13016
1609.2,-0.13051
1609.21,-0.13025
1609.22,-0.12975
1609.23,-0.13046
1609.24,-0.12991
1609.25,-0.1306
1609.26,-0.12983
1609.27,-0.13017
1609.28,-0.13023
1609.29,-0.12995
1609.3,-0.13055
1609.31,-0.13048
1609.32,-0.12981
1609.33,-0.13039
1609.34,-0.13002
1609.35,-0.12973
1609.36,-0.13011
1609.37,-0.13005
1609.38,-0.12965
1609.39,-0.12977
1609.4,-0.13053
1609.41,-0.13056
1609.42,-0.1303
1609.43,-0.13026
1609.44,-0.12955
1609.45,-0.12959
1609.46,-0.12995
1609.47,-0.12982
1609.48,-0.12995
1609.49,-0.12949
1609.5,-0.12953
1609.51,-0.1298
1609.52,-0.13045
1609.53,-0.13006
1609.54,-0.13046
1609.55,-0.13001
1609.56,-0.13
1609.57,-0.12941
1609.58,-0.12972
1609.59,-0.13025
1609.6,-0.13003
1609.61,-0.12974
1609.62,-0.13002
1609.63,-0.13046
1609.64,-0.13026
1609.65,-0.13015
1609.66,-0.1295
1609.67,-0.12958
1609.68,-0.13006
1609.69,-0.12977
1609.7,-0.12983
1609.71,-0.12985
1609.72,-0.12991
1609.73,-0.13028
1609.74,-0.13009
1609.75,-0.13032
1609.76,-0.13047
1609.77,-0.13003
1609.78,-0.13005
1609.79,-0.13014
1609.8,-0.12997
1609.81,-0.13039
1609.82,-0.12982
1609.83,-0.13071
1609.84,-0.13031
1609.85,-0.13051
1609.86,-0.13086
1609.87,-0.1306
1609.88,-0.13025
1609.89,-0.13027
1609.9,-0.13045
1609.91,-0.13049
1609.92,-0.13014
1609.93,-0.13032
1609.94,-0.13034
1609.95,-0.13026
1609.96,-0.13009
1609.97,-0.13201
1609.98,-0.13018
1609.99,-0.13013
1610,-0.12992
1610.01,-0.13071
1610.02,-0.13008
1610.03,-0.13032
1610.04,-0.13082
1610.05,-0.13056
1610.06,-0.13027
1610.07,-0.13055
1610.08,-0.13087
1610.09,-0.13072
1610.1,-0.13138
1610.11,-0.13033
1610.12,-0.13076
1610.13,-0.13046
1610.14,-0.13064
1610.15,-0.13041
