3/04/2024,1:55:00 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1604,-0.12044
1604.01,-0.12042
1604.02,-0.12091
1604.03,-0.12094
1604.04,-0.12097
1604.05,-0.12107
1604.06,-0.12018
1604.07,-0.12109
1604.08,-0.12031
1604.09,-0.1202
1604.1,-0.1207
1604.11,-0.12054
1604.12,-0.12043
1604.13,-0.1208
1604.14,-0.12108
1604.15,-0.12096
1604.16,-0.12052
1604.17,-0.12036
1604.18,-0.12077
1604.19,-0.12036
1604.2,-0.12055
1604.21,-0.12014
1604.22,-0.12039
1604.23,-0.12026
1604.24,-0.12048
1604.25,-0.12077
1604.26,-0.1206
1604.27,-0.12058
1604.28,-0.12085
1604.29,-0.12043
1604.3,-0.12053
1604.31,-0.12086
1604.32,-0.12017
1604.33,-0.12106
1604.34,-0.12042
1604.35,-0.12042
1604.36,-0.12111
1604.37,-0.12123
1604.38,-0.12103
1604.39,-0.12083
1604.4,-0.12096
1604.41,-0.12008
1604.42,-0.12026
1604.43,-0.12044
1604.44,-0.12039
1604.45,-0.12011
1604.46,-0.12049
1604.47,-0.12037
1604.48,-0.12065
1604.49,-0.12099
1604.5,-0.12133
1604.51,-0.12037
1604.52,-0.12044
1604.53,-0.1204
1604.54,-0.12032
1604.55,-0.12037
1604.56,-0.12057
1604.57,-0.12043
1604.58,-0.12115
1604.59,-0.1205
1604.6,-0.12107
1604.61,-0.12062
1604.62,-0.12028
1604.63,-0.11954
1604.64,-0.12034
1604.65,-0.11991
1604.66,-0.12008
1604.67,-0.12062
1604.68,-0.12023
1604.69,-0.12091
1604.7,-0.12069
1604.71,-0.12083
1604.72,-0.12073
1604.73,-0.12035
1604.74,-0.12009
1604.75,-0.11998
1604.76,-0.11978
1604.77,-0.11995
1604.78,-0.11936
1604.79,-0.12046
1604.8,-0.12023
1604.81,-0.12034
1604.82,-0.12053
1604.83,-0.12028
1604.84,-0.12019
1604.85,-0.12042
1604.86,-0.12011
1604.87,-0.11978
1604.88,-0.11984
1604.89,-0.1196
1604.9,-0.11959
1604.91,-0.1202
1604.92,-0.12047
1604.93,-0.12036
1604.94,-0.12045
1604.95,-0.12045
1604.96,-0.1205
1604.97,-0.11938
1604.98,-0.11959
1604.99,-0.11967
1605,-0.12
1605.01,-0.11964
1605.02,-0.12018
1605.03,-0.11995
1605.04,-0.12035
1605.05,-0.12051
1605.06,-0.12058
1605.07,-0.12082
1605.08,-0.1193
1605.09,-0.12033
1605.1,-0.11895
1605.11,-0.11977
1605.12,-0.11984
1605.13,-0.11992
1605.14,-0.12037
1605.15,-0.11998
1605.16,-0.12003
1605.17,-0.11999
1605.18,-0.11981
1605.19,-0.12003
1605.2,-0.11957
1605.21,-0.11893
1605.22,-0.12041
1605.23,-0.11964
1605.24,-0.11964
1605.25,-0.1199
1605.26,-0.12034
1605.27,-0.12003
1605.28,-0.12029
1605.29,-0.11969
1605.3,-0.12011
1605.31,-0.11954
1605.32,-0.11952
1605.33,-0.11958
1605.34,-0.11987
1605.35,-0.11949
1605.36,-0.12034
1605.37,-0.11996
1605.38,-0.12026
1605.39,-0.12005
1605.4,-0.12008
1605.41,-0.11973
1605.42,-0.1194
1605.43,-0.11978
1605.44,-0.11964
1605.45,-0.1197
1605.46,-0.11975
1605.47,-0.12021
1605.48,-0.11986
1605.49,-0.12064
1605.5,-0.11996
1605.51,-0.12123
1605.52,-0.11999
1605.53,-0.12059
1605.54,-0.12008
1605.55,-0.11976
1605.56,-0.12048
1605.57,-0.11986
1605.58,-0.12075
1605.59,-0.12073
1605.6,-0.12055
1605.61,-0.12104
1605.62,-0.12109
1605.63,-0.12035
1605.64,-0.12025
1605.65,-0.12034
1605.66,-0.12029
1605.67,-0.12073
1605.68,-0.12095
1605.69,-0.12064
1605.7,-0.12075
1605.71,-0.12106
1605.72,-0.1209
1605.73,-0.12112
1605.74,-0.12137
1605.75,-0.12145
1605.76,-0.1207
1605.77,-0.12041
1605.78,-0.12131
1605.79,-0.12074
1605.8,-0.1207
1605.81,-0.12127
1605.82,-0.12163
1605.83,-0.12122
1605.84,-0.12151
1605.85,-0.12068
1605.86,-0.12134
1605.87,-0.12099
1605.88,-0.12085
1605.89,-0.12069
1605.9,-0.12079
1605.91,-0.1209
1605.92,-0.12108
1605.93,-0.12145
1605.94,-0.12143
1605.95,-0.12208
1605.96,-0.12172
1605.97,-0.12102
1605.98,-0.12091
1605.99,-0.12052
1606,-0.12157
1606.01,-0.1214
1606.02,-0.12118
1606.03,-0.12186
1606.04,-0.12191
1606.05,-0.12168
1606.06,-0.12159
1606.07,-0.12159
1606.08,-0.12151
1606.09,-0.12164
1606.1,-0.12121
1606.11,-0.121
1606.12,-0.12104
1606.13,-0.1214
1606.14,-0.12123
1606.15,-0.12169
1606.16,-0.12155
1606.17,-0.12247
1606.18,-0.1212
1606.19,-0.12158
1606.2,-0.12158
1606.21,-0.12108
1606.22,-0.12145
1606.23,-0.12119
1606.24,-0.12124
1606.25,-0.12122
1606.26,-0.12154
1606.27,-0.12169
1606.28,-0.12133
1606.29,-0.12166
1606.3,-0.12143
1606.31,-0.12109
1606.32,-0.12132
1606.33,-0.12137
1606.34,-0.12104
1606.35,-0.12103
1606.36,-0.12116
1606.37,-0.12086
1606.38,-0.12148
1606.39,-0.12168
1606.4,-0.12128
1606.41,-0.12146
1606.42,-0.12093
1606.43,-0.12086
1606.44,-0.12103
1606.45,-0.1212
1606.46,-0.1215
1606.47,-0.12062
1606.48,-0.12138
1606.49,-0.12158
1606.5,-0.12156
1606.51,-0.12132
1606.52,-0.12167
1606.53,-0.12096
1606.54,-0.12109
1606.55,-0.12128
1606.56,-0.12125
1606.57,-0.12134
1606.58,-0.12185
1606.59,-0.12176
1606.6,-0.12168
1606.61,-0.12159
1606.62,-0.12155
1606.63,-0.12155
1606.64,-0.12163
1606.65,-0.12161
1606.66,-0.12137
1606.67,-0.12167
1606.68,-0.12172
1606.69,-0.12171
1606.7,-0.12205
1606.71,-0.12215
1606.72,-0.12174
1606.73,-0.12264
1606.74,-0.12236
1606.75,-0.12207
1606.76,-0.12195
1606.77,-0.12167
1606.78,-0.12187
1606.79,-0.12192
1606.8,-0.12215
1606.81,-0.1222
1606.82,-0.12266
1606.83,-0.12306
1606.84,-0.12222
1606.85,-0.12254
1606.86,-0.12207
1606.87,-0.12258
1606.88,-0.12213
1606.89,-0.12197
1606.9,-0.12277
1606.91,-0.12223
1606.92,-0.12275
1606.93,-0.12268
1606.94,-0.12279
1606.95,-0.1231
1606.96,-0.12348
1606.97,-0.1227
1606.98,-0.12274
1606.99,-0.12256
1607,-0.12262
1607.01,-0.12214
1607.02,-0.12312
1607.03,-0.12258
1607.04,-0.12298
1607.05,-0.12318
1607.06,-0.12279
1607.07,-0.12359
1607.08,-0.12233
1607.09,-0.12338
1607.1,-0.12252
1607.11,-0.12266
1607.12,-0.12249
1607.13,-0.12302
1607.14,-0.12274
1607.15,-0.12284
1607.16,-0.12314
1607.17,-0.12335
1607.18,-0.12338
1607.19,-0.12343
1607.2,-0.12338
1607.21,-0.12264
1607.22,-0.12281
1607.23,-0.12311
1607.24,-0.12263
1607.25,-0.12302
1607.26,-0.12256
1607.27,-0.12316
1607.28,-0.12344
1607.29,-0.12318
1607.3,-0.12265
1607.31,-0.12264
1607.32,-0.12274
1607.33,-0.12236
1607.34,-0.12221
1607.35,-0.12269
1607.36,-0.12263
1607.37,-0.12253
1607.38,-0.12273
1607.39,-0.12274
1607.4,-0.12308
1607.41,-0.12244
1607.42,-0.12263
