# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jun 12 01:29:03 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CH4
1.604470000e+00 9.99990e-01 9.99990e-01
1.604480000e+00 9.99991e-01 9.99991e-01
1.604490000e+00 9.99991e-01 9.99991e-01
1.604500000e+00 9.99991e-01 9.99991e-01
1.604510000e+00 9.99991e-01 9.99991e-01
1.604520000e+00 9.99990e-01 9.99990e-01
1.604530000e+00 9.99989e-01 9.99989e-01
1.604540000e+00 9.99987e-01 9.99987e-01
1.604550000e+00 9.99983e-01 9.99983e-01
1.604560000e+00 9.99976e-01 9.99976e-01
1.604570000e+00 9.99961e-01 9.99961e-01
1.604580000e+00 9.99919e-01 9.99919e-01
1.604590000e+00 9.99788e-01 9.99788e-01
1.604600000e+00 9.99824e-01 9.99824e-01
1.604610000e+00 9.99904e-01 9.99904e-01
1.604620000e+00 9.99898e-01 9.99898e-01
1.604630000e+00 9.99793e-01 9.99793e-01
1.604640000e+00 9.99727e-01 9.99727e-01
1.604650000e+00 9.99650e-01 9.99650e-01
1.604660000e+00 9.99633e-01 9.99633e-01
1.604670000e+00 9.99779e-01 9.99779e-01
1.604680000e+00 9.99907e-01 9.99907e-01
1.604690000e+00 9.99952e-01 9.99952e-01
1.604700000e+00 9.99971e-01 9.99971e-01
1.604710000e+00 9.99980e-01 9.99980e-01
1.604720000e+00 9.99985e-01 9.99985e-01
1.604730000e+00 9.99989e-01 9.99989e-01
1.604740000e+00 9.99991e-01 9.99991e-01
1.604750000e+00 9.99993e-01 9.99993e-01
1.604760000e+00 9.99994e-01 9.99994e-01
1.604770000e+00 9.99995e-01 9.99995e-01
1.604780000e+00 9.99995e-01 9.99995e-01
1.604790000e+00 9.99996e-01 9.99996e-01
1.604800000e+00 9.99996e-01 9.99996e-01
1.604810000e+00 9.99997e-01 9.99997e-01
1.604820000e+00 9.99997e-01 9.99997e-01
1.604830000e+00 9.99997e-01 9.99997e-01
1.604840000e+00 9.99998e-01 9.99998e-01
1.604850000e+00 9.99998e-01 9.99998e-01
1.604860000e+00 9.99998e-01 9.99998e-01
1.604870000e+00 9.99998e-01 9.99998e-01
1.604880000e+00 9.99998e-01 9.99998e-01
1.604890000e+00 9.99998e-01 9.99998e-01
1.604900000e+00 9.99998e-01 9.99998e-01
1.604910000e+00 9.99998e-01 9.99998e-01
1.604920000e+00 9.99998e-01 9.99998e-01
1.604930000e+00 9.99998e-01 9.99998e-01
1.604940000e+00 9.99999e-01 9.99999e-01
1.604950000e+00 9.99999e-01 9.99999e-01
1.604960000e+00 9.99999e-01 9.99999e-01
1.604970000e+00 9.99999e-01 9.99999e-01
1.604980000e+00 9.99999e-01 9.99999e-01
1.604990000e+00 9.99999e-01 9.99999e-01
1.605000000e+00 9.99999e-01 9.99999e-01
1.605010000e+00 9.99999e-01 9.99999e-01
1.605020000e+00 9.99999e-01 9.99999e-01
1.605030000e+00 9.99999e-01 9.99999e-01
1.605040000e+00 9.99999e-01 9.99999e-01
1.605050000e+00 9.99999e-01 9.99999e-01
1.605060000e+00 9.99998e-01 9.99998e-01
1.605070000e+00 9.99998e-01 9.99998e-01
1.605080000e+00 9.99998e-01 9.99998e-01
1.605090000e+00 9.99998e-01 9.99998e-01
1.605100000e+00 9.99998e-01 9.99998e-01
1.605110000e+00 9.99998e-01 9.99998e-01
1.605120000e+00 9.99997e-01 9.99997e-01
1.605130000e+00 9.99997e-01 9.99997e-01
1.605140000e+00 9.99996e-01 9.99996e-01
1.605150000e+00 9.99996e-01 9.99996e-01
1.605160000e+00 9.99994e-01 9.99994e-01
1.605170000e+00 9.99992e-01 9.99992e-01
1.605180000e+00 9.99989e-01 9.99989e-01
1.605190000e+00 9.99983e-01 9.99983e-01
1.605200000e+00 9.99969e-01 9.99969e-01
