3/04/2024,2:39:49 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1604.02,-0.08635
1604.03,-0.0867
1604.04,-0.08696
1604.05,-0.087
1604.06,-0.08692
1604.07,-0.08702
1604.08,-0.08667
1604.09,-0.08638
1604.1,-0.08721
1604.11,-0.08698
1604.12,-0.08648
1604.13,-0.08721
1604.14,-0.08707
1604.15,-0.08687
1604.16,-0.08652
1604.17,-0.08724
1604.18,-0.08674
1604.19,-0.08718
1604.2,-0.08642
1604.21,-0.08669
1604.22,-0.08656
1604.23,-0.08667
1604.24,-0.08676
1604.25,-0.08702
1604.26,-0.08684
1604.27,-0.08703
1604.28,-0.08727
1604.29,-0.08698
1604.3,-0.08745
1604.31,-0.08694
1604.32,-0.08714
1604.33,-0.08699
1604.34,-0.08719
1604.35,-0.08709
1604.36,-0.08742
1604.37,-0.08773
1604.38,-0.08702
1604.39,-0.08739
1604.4,-0.08709
1604.41,-0.08743
1604.42,-0.08731
1604.43,-0.08704
1604.44,-0.08697
1604.45,-0.08686
1604.46,-0.08701
1604.47,-0.08717
1604.48,-0.08721
1604.49,-0.08714
1604.5,-0.08753
1604.51,-0.08688
1604.52,-0.08725
1604.53,-0.08719
1604.54,-0.08727
1604.55,-0.08684
1604.56,-0.08743
1604.57,-0.08662
1604.58,-0.08742
1604.59,-0.08682
1604.6,-0.08737
1604.61,-0.087
1604.62,-0.08775
1604.63,-0.08629
1604.64,-0.08752
1604.65,-0.0865
1604.66,-0.0871
1604.67,-0.08706
1604.68,-0.08742
1604.69,-0.08741
1604.7,-0.08689
1604.71,-0.08753
1604.72,-0.0873
1604.73,-0.08731
1604.74,-0.08716
1604.75,-0.08742
1604.76,-0.08672
1604.77,-0.08747
1604.78,-0.08631
1604.79,-0.08757
1604.8,-0.08759
1604.81,-0.08735
1604.82,-0.08707
1604.83,-0.08726
1604.84,-0.0871
1604.85,-0.08767
1604.86,-0.08728
1604.87,-0.08796
1604.88,-0.08729
1604.89,-0.08735
1604.9,-0.08684
1604.91,-0.0874
1604.92,-0.08761
1604.93,-0.08744
1604.94,-0.08757
1604.95,-0.08733
1604.96,-0.08782
1604.97,-0.08732
1604.98,-0.08733
1604.99,-0.08718
1605,-0.08777
1605.01,-0.08712
1605.02,-0.0878
1605.03,-0.08705
1605.04,-0.08783
1605.05,-0.08782
1605.06,-0.08745
1605.07,-0.08767
1605.08,-0.08726
